"datasetid","doi"
1548,"10.1017/S0033822200010547"
1548,"10.1017/S0033822200000709"
1548,"10.1017/S0033822200064559"
1568,"10.2307/2261663"
1569,"10.7202/1000060ar"
1572,"10.1016/0277-3791(95)00063-1"
1572,"10.2307/2937135"
1572,"10.1006/qres.1993.1042"
1587,"10.1139/e91-055"
1588,"10.1130/0016-7606(1963)74[1371:TPDFSM]2.0.CO;2"
1592,"10.1139/e91-055"
1594,"10.1139/e91-055"
1610,"10.1080/01916122.1983.9989252"
1610,"10.1016/0031-0182(93)90005-4"
1618,"10.1139/e91-055"
1625,"10.7202/032567ar"
1626,"10.7202/032567ar"
1627,"10.4116/jaqua.34.5_359"
1633,"10.1016/0033-5894(88)90087-7"
1636,"10.1017/S0033822200043794"
1637,"10.1017/S0033822200043794"
1640,"10.1139/e75-024"
1643,"10.1016/0033-5894(88)90034-8"
1648,"10.1130/0091-7613(1975)3<344:ALQROV>2.0.CO;2"
1649,"10.2307/1935709"
1649,"10.1016/0033-5894(73)900"
1649,"10.1016/0033-5894(75)90027-7"
1649,"10.1016/0033-5894(88)90034-8"
1649,"10.1007/BF00114719"
1650,"10.1139/b85-070"
1651,"10.1016/0277-3791(95)00063-1"
1651,"10.2307/2937135"
1651,"10.1006/qres.1993.1042"
1651,"10.1038/361623a0"
1652,"10.1139/e91-055"
1653,"10.1139/e91-055"
1665,"10.1016/0033-5894(75)90013-7"
1669,"10.2307/1934159"
1670,"10.1006/qres.1997.1903"
1675,"10.1139/e91-055"
1676,"10.1139/e91-055"
1677,"10.1139/e91-055"
1684,"10.1017/S0033822200000333"
1684,"10.1017/S0033822200000710"
1689,"10.2307/2937135"
1689,"10.1038/361623a0"
1692,"10.1139/e91-055"
1694,"10.1080/01916122.1983.9989252"
1701,"10.1139/e78-116"
1705,"10.1139/b73-271"
1707,"10.1017/S0033822200043794"
1711,"10.1080/01916122.1983.9989252"
1718,"10.1016/0277-3791(95)00063-1"
1718,"10.2307/2937135"
1718,"10.1006/qres.1993.1042"
1718,"10.1038/361623a0"
1725,"10.1007/BF00226322"
1740,"0.1139/e80-122"
1757,"10.1177/095968369200200105"
1761,"10.1017/S0033822200011413"
1761,"10.1016/0034-6667(72)90038-3"
1762,"10.1017/S0033822200036377"
1762,"10.1016/0034-6667(72)90038-3"
1762,"10.1017/S0033822200036882"
1762,"10.1130/0016-7606(1963)74[1485:PAOSMF]2.0.CO;2"
1766,"10.1016/0031-0182(92)90137-T"
1769,"10.1139/b85-070"
1772,"10.1017/S003382220002021X"
1776,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
1776,"10.2307/1934159"
1776,"10.1130/0016-7606(1966)77[1333:TLCAOS]2.0.CO;2"
1778,"10.1177/095968369200200105"
1784,"10.1139/e91-055"
